objectname,RA,DEC,period,R2,sector
TIC 428534573,56.2552181,49.61663317,0.376749385,0.99988542,[19]
TIC 405533713,202.4431603,-32.33386751,0.280089616,0.999885374,"[64, 11]"
TIC 326675379,1.655756035,55.45603465,0.272387783,0.999884987,[24]
TIC 318185328,162.1417983,-3.624495316,0.368339085,0.999884203,"[35, 9, 45, 46, 62]"
TIC 214657111,349.0130241,-15.89206633,0.469904084,0.999883844,[29]
TIC 274088422,49.49640712,2.503212618,0.341295785,0.999882903,[4]
TIC 404482465,201.7249106,7.658997004,0.306043421,0.999882843,[50]
TIC 402656199,294.0367089,67.91390775,0.590725024,0.999882361,"[52, 57, 58, 60, 41, 47, 55, 48, 56, 49, 54, 40, 53, 51]"
TIC 147610499,148.6192363,69.22285078,0.528939033,0.999882293,"[47, 21, 20, 41, 40, 60]"
TIC 278895603,101.0779507,-55.45361049,0.740713281,0.999881854,"[62, 66, 63, 65, 12, 13, 9, 11, 61]"
TIC 456130400,51.66201092,42.72355109,0.351584953,0.999881844,"[58, 18]"
TIC 141770299,91.85841183,-76.9269087,0.400442288,0.999881722,"[2, 13, 1, 5, 10, 4, 11, 9, 8, 7, 6, 3, 12]"
TIC 365919734,93.53321014,36.8259754,0.430644859,0.999881509,[60]
TIC 117978580,71.74587639,-14.62313781,0.527791079,0.999881417,[5]
TIC 35009375,164.77483,-3.544053,1.070127813,0.999881296,"[9, 45, 62]"
TIC 308076113,167.8949191,-13.43610568,0.263582847,0.999881215,"[63, 9]"
TIC 441025443,324.1528565,-22.29969011,0.543951834,0.999880977,[28]
TIC 340916754,310.2753949,13.02916596,1.084929827,0.999880518,[55]
TIC 140132301,127.33621,-43.842238,0.656707419,0.999880223,"[8, 62, 61, 9, 34, 35]"
TIC 293195900,339.2794527,2.874759297,0.597656008,0.99987988,[42]
TIC 250203533,320.3533613,-3.160260117,0.374466994,0.999879412,[55]
TIC 387586260,44.41258104,7.178745001,0.880952099,0.999879347,"[42, 43, 4, 44]"
TIC 151233402,91.25112274,12.55131439,0.809243859,0.999879162,[33]
TIC 302240958,125.538784,24.04149445,0.407030301,0.999878889,"[46, 45]"
TIC 178834939,150.8725225,-3.013135185,0.339846809,0.999878735,[35]
TIC 311103813,256.9897163,-73.7265,0.528141235,0.999878703,"[66, 13, 12]"
TIC 290034099,290.5489269,49.47621783,0.591668372,0.999878363,"[54, 41, 53, 15, 40, 55]"
TIC 274969703,257.7497526,46.28895911,0.510346563,0.999877989,"[26, 24]"
TIC 53603189,103.1334276,-25.55842613,0.418588384,0.999877558,"[33, 6, 7]"
TIC 376023519,317.2822086,62.88890449,0.364518232,0.99987702,"[58, 57, 56, 17, 16, 24]"
TIC 59038877,57.36569519,12.91217922,0.305331228,0.999876781,"[42, 43, 44, 5]"
TIC 115971584,266.0441044,40.28086388,0.346695704,0.999876566,"[26, 25]"
TIC 402107145,182.3361632,-27.98207702,0.292338071,0.99987619,"[63, 10]"
TIC 159854359,236.7939878,53.03633353,0.326456222,0.999875763,"[23, 49, 51, 16, 50, 24]"
TIC 419994778,34.46459958,2.37285461,0.430838387,0.999874952,"[4, 43, 42, 31]"
TIC 406732815,188.2511842,26.71621178,0.23741006,0.9998744,"[22, 49]"
TIC 67707714,225.1955812,35.13187321,0.317145015,0.999874331,"[50, 24, 23, 51]"
TIC 370960295,145.554012,-66.914818,1.092247834,0.999874157,"[9, 63, 64, 65]"
TIC 302125867,307.3192512,-29.93535621,0.389668017,0.999873451,[27]
TIC 261105201,82.827401,-79.008764,0.956084886,0.999873386,"[13, 12, 1, 63, 2, 5, 7, 62, 64, 61, 66, 65, 8, 4]"
TIC 345451479,57.98765058,9.691532375,0.442872021,0.999873258,"[5, 42, 43, 44]"
TIC 31118189,81.215128,-28.153288,0.275910775,0.999872962,"[6, 5]"
TIC 404460906,15.8639747,-12.17306388,0.586036719,0.999872361,[3]
TIC 311235572,253.9881087,68.20008934,0.618906921,0.999872211,"[47, 55, 53, 54, 40, 48, 52, 49, 50, 51]"
TIC 260370454,95.25084757,-54.54912709,0.794411673,0.999871089,"[5, 62, 61, 6, 65, 4, 66]"
TIC 242944454,58.6048753,12.06883916,0.404715477,0.999870587,"[44, 5, 42, 43]"
TIC 159983399,241.5092191,50.18697392,0.418845986,0.999870274,"[24, 51, 25, 23, 50]"
TIC 261089147,81.70719496,-81.58533533,0.461927434,0.999870203,"[61, 65, 39, 11, 28, 66, 13, 12, 27, 1, 38]"
TIC 280033934,297.5894671,70.28765126,0.278757113,0.999869713,"[58, 50, 19, 14, 41, 40, 47, 55, 57, 48, 15, 26, 53, 20, 16, 49, 54, 56, 18, 25, 60, 51, 23, 52, 22, 21]"
TIC 422523985,351.9516178,4.856648797,0.261201978,0.999869672,"[56, 42]"
TIC 349231109,205.697143,-18.88536097,0.408900236,0.999869553,[37]
TIC 136656542,305.7782292,30.82575912,0.652377314,0.999869511,"[55, 41, 15]"
TIC 294396726,109.1804842,-56.39688329,0.900712947,0.999869212,"[61, 39, 33, 62, 36, 63, 35, 30, 7, 34]"
TIC 146520491,76.57357669,-20.13133163,0.448419751,0.999868557,"[5, 32]"
TIC 429973546,96.00321476,20.47025358,0.350542367,0.999868473,"[43, 45, 44]"
TIC 355269641,296.7564286,-48.27874912,0.912014336,0.999868357,[27]
TIC 143034559,167.4630412,-9.528397461,0.401427237,0.999867892,[36]
TIC 367683204,183.0251573,22.53296791,0.220686407,0.999867846,"[49, 22]"
TIC 219109908,271.3769557,69.75437428,0.424369016,0.999867675,"[48, 47, 52, 40, 18, 60, 59, 50, 41, 56, 58, 51, 23, 55, 53, 57, 21, 54, 26, 17, 15, 22, 24, 25, 20, 14, 16]"
TIC 421260279,217.1219054,-79.91637589,0.433000028,0.999867439,"[39, 38]"
TIC 298666271,278.3515039,58.70648508,0.59741321,0.9998673,"[16, 47, 55, 52, 51, 50, 21, 26, 15, 20, 19, 22, 23, 17, 40, 48, 53, 24, 14, 49, 41, 18, 25]"
TIC 71026173,65.82161874,-13.04480803,0.679762499,0.999865124,[5]
TIC 179368346,211.8608111,-38.59418611,0.262690795,0.999864784,"[64, 11]"
TIC 198280388,250.2743797,60.60620885,0.488121759,0.999864319,"[22, 60, 55, 16, 53, 54, 56, 40, 49, 20, 58, 51, 23, 48, 26, 59, 21, 14, 19, 24, 41, 52, 25, 50, 18]"
TIC 59855698,110.3110454,-46.60548697,0.388391204,0.999863921,"[33, 35, 34]"
TIC 55778901,182.2604165,56.03165374,0.354394672,0.999862975,"[22, 41, 48, 15, 21]"
TIC 335719278,222.9868001,60.77234586,0.286853783,0.999862622,"[16, 50, 49, 15, 48, 22, 23]"
TIC 340783883,30.32809086,-37.08114808,0.308273047,0.999861841,[30]
TIC 426146826,358.7696132,76.75568621,0.397262296,0.999861223,[52]
TIC 350478924,85.794086,-58.759289,0.437113144,0.999860793,"[6, 5, 10, 66, 61, 64, 62, 9, 13, 65, 8, 11, 7, 4, 63]"
TIC 120016,222.5773279,-24.42773618,0.32654198,0.999860774,"[38, 65, 11]"
TIC 316769246,354.6261018,-35.37555337,0.347682918,0.999860057,[29]
TIC 98828631,45.72490934,-15.90114168,1.016056179,0.999859778,"[31, 4]"
TIC 257060367,329.9250836,36.28396748,0.526901109,0.999859252,"[15, 56, 16]"
TIC 288778712,314.6516183,51.59184917,0.498651249,0.999857961,"[15, 55, 16, 56]"
TIC 284890361,260.4362824,54.55921378,0.336330029,0.999857949,"[47, 17, 16, 24, 26, 54, 20, 52, 53, 23, 40, 14, 50, 51]"
TIC 232527356,210.4443113,32.146639,0.366796175,0.999857372,"[50, 23]"
TIC 71043339,91.58566518,65.12263278,0.280769175,0.999856998,"[59, 60]"
TIC 142587827,167.8704005,73.11527688,0.439381371,0.999856953,"[48, 47, 21, 20, 40, 60]"
TIC 356108440,261.4200987,59.25869766,0.533619594,0.99985684,[24]
TIC 77555999,178.8798162,-26.29922837,0.51148366,0.999856681,[36]
TIC 27108542,152.7569078,20.20616881,0.575083614,0.9998564,"[45, 46]"
TIC 414829771,14.56613148,13.80312391,0.677423078,0.999856375,"[42, 43]"
TIC 329246824,263.8846696,57.80251823,0.587468422,0.99985626,"[55, 54, 60, 15, 53, 21, 47, 17, 56, 22, 57, 48, 58, 49, 50, 18, 14, 16, 51, 41, 23, 19, 40, 20, 26, 24, 25]"
TIC 95525590,202.7715618,12.26174596,0.21804347,0.999856098,"[50, 23]"
TIC 251078096,37.1915543,-2.487815221,0.584506647,0.999856077,[4]
TIC 193558725,246.0434984,45.92409245,0.265751876,0.999855524,"[50, 52]"
TIC 4377554,116.3975614,33.78052019,0.290122391,0.99985533,"[44, 45]"
TIC 166324888,206.8305204,-41.58411346,0.622715992,0.999854936,[38]
TIC 110460789,290.0782631,1.958531265,0.387249405,0.999854935,[54]
TIC 23139612,46.33834157,-6.330874189,0.411050049,0.99985439,[4]
TIC 67686223,62.95086016,-11.7907472,0.416679454,0.999854294,[5]
TIC 1981434198,316.1215712,70.76451428,0.30614001,0.999854131,"[17, 57, 24, 19, 25, 16, 58, 18]"
TIC 155915231,221.388977,51.17905207,0.866745057,0.999854024,"[16, 49, 22, 23, 50]"
TIC 249943198,38.79846564,49.86033665,0.797906494,0.999853716,"[58, 18]"
TIC 266769522,29.75300928,-22.91979244,0.536433911,0.999852691,[3]
TIC 178859380,194.7071324,-36.97582482,0.330862737,0.999851328,"[37, 64, 10]"
TIC 188394606,129.9549158,36.4257684,0.288028489,0.999851175,[47]
TIC 310761370,344.6325436,5.873333426,0.234171214,0.999851154,[42]
TIC 248399337,76.75879933,-0.792399856,0.432225353,0.99985085,[5]
TIC 302625238,28.34764766,70.0426225,0.440285408,0.99985022,"[19, 58, 25, 52, 18]"
TIC 101645013,259.5178966,41.84407054,0.471628922,0.999850205,"[26, 25]"
