objectname,RA,DEC,period,PeriodError,magdata,sector,R2
TIC 143034559,167.4630412,-9.528397461,0.401427237,8.923725442166329e-05,0.290695585,[36],0.999867892
TIC 367683204,183.0251573,22.53296791,0.220686407,5.976265048727474e-05,0.795860227,"[49, 22]",0.999867846
TIC 219109908,271.3769557,69.75437428,0.424369016,0.0002963524923529,0.439488712,"[48, 47, 52, 40, 18, 60, 59, 50, 41, 56, 58, 51, 23, 55, 53, 57, 21, 54, 26, 17, 15, 22, 24, 25, 20, 14, 16]",0.999867675
TIC 421260279,217.1219054,-79.91637589,0.433000028,0.0002860590154578,0.481080948,"[39, 38]",0.999867439
TIC 298666271,278.3515039,58.70648508,0.59741321,0.0001101166273666,0.183950718,"[16, 47, 55, 52, 51, 50, 21, 26, 15, 20, 19, 22, 23, 17, 40, 48, 53, 24, 14, 49, 41, 18, 25]",0.9998673
TIC 71026173,65.82161874,-13.04480803,0.679762499,0.0001271235598665,0.3263056,[5],0.999865124
TIC 179368346,211.8608111,-38.59418611,0.262690795,7.679363522753776e-05,0.597978467,"[64, 11]",0.999864784
TIC 198280388,250.2743797,60.60620885,0.488121759,0.0001476299118129,0.431008763,"[22, 60, 55, 16, 53, 54, 56, 40, 49, 20, 58, 51, 23, 48, 26, 59, 21, 14, 19, 24, 41, 52, 25, 50, 18]",0.999864319
TIC 59855698,110.3110454,-46.60548697,0.388391204,0.0001526799848681,0.27618667,"[33, 35, 34]",0.999863921
TIC 55778901,182.2604165,56.03165374,0.354394672,8.407642227301691e-05,0.587271681,"[22, 41, 48, 15, 21]",0.999862975
TIC 335719278,222.9868001,60.77234586,0.286853783,8.973818155646737e-05,0.462153393,"[16, 50, 49, 15, 48, 22, 23]",0.999862622
TIC 340783883,30.32809086,-37.08114808,0.308273047,7.560943650432683e-05,0.343430988,[30],0.999861841
TIC 426146826,358.7696132,76.75568621,0.397262296,0.0002668544847088,0.215466529,[52],0.999861223
TIC 350478924,85.794086,-58.759289,0.437113144,8.913039395513957e-05,0.410414413,"[6, 5, 10, 66, 61, 64, 62, 9, 13, 65, 8, 11, 7, 4, 63]",0.999860793
TIC 120016,222.5773279,-24.42773618,0.32654198,0.0001547909452447,0.186816071,"[38, 65, 11]",0.999860774
TIC 316769246,354.6261018,-35.37555337,0.347682918,7.328959448403445e-05,0.379831912,[29],0.999860057
TIC 98828631,45.72490934,-15.90114168,1.016056179,0.0001643163175594,0.294881212,"[31, 4]",0.999859778
TIC 257060367,329.9250836,36.28396748,0.526901109,0.000442117142629,0.35494258,"[15, 56, 16]",0.999859252
